x;y
3.03899;2.45245
3.10183;2.74171
3.10183;2.74171
3.55778;2.34547
3.72012;2.38419
3.52514;2.50864
3.85859;2.18512
3.75437;2.95398
3.43551;2.42538
3.74207;2.69766
3.70216;2.80965
3.70216;2.80965
3.80785;2.75899
3.4367;2.5996
3.46283;2.6274
3.39739;2.68923
3.39739;2.68923
3.19367;2.48557
3.40111;2.66384
3.35904;2.65247
3.54857;2.34608
3.58509;2.75197
3.58509;2.75197
3.61003;2.54041
3.61003;2.54041
3.31385;2.37555
3.41822;2.38984
3.41303;2.34928
3.7242;2.58748
3.84222;2.60442
2.74494;1.50607
3.35153;2.8394
3.42501;2.83602
2.24802;1.92765
2.79124;3.25519
2.64163;3.34488
3.44737;2.67055
3.20001;2.63273
3.24625;2.6931
3.51894;2.87759
3.2913;2.87025
3.54908;2.64552
3.58594;2.51863
3.73633;2.74104
3.53448;2.346
3.35013;2.54507
3.48692;2.65982
3.48692;2.65982
3.51138;2.6889
3.30929;3.56166
3.96385;2.53228
3.41479;2.36363
3.64759;2.53393
3.46734;2.21364
3.34143;2.47657
2.89377;1.99964
3.47447;2.11532
3.53825;1.90643
3.52486;2.06815
2.71379;3.1972
2.71379;3.1972
3.63616;2.69667
3.41218;2.42436
3.429;2.39175
3.48875;2.53218
3.48875;2.53218
3.35515;2.40407
2.90784;2.39715
3.41582;2.70479
3.45094;2.69568
3.45094;2.69568
3.29341;2.5729
3.46008;2.45308
3.29523;1.99471
3.29317;2.76861
3.02674;2.51837
3.004;2.91089
3.01386;2.85492
3.01386;2.85492
2.89772;2.82278
3.19822;2.93447
2.80862;3.009
2.80862;3.009
2.78666;3.05193
2.81663;3.32524
3.11784;3.34489
3.16074;3.3353
3.72696;2.9032
3.44927;2.46385
3.51623;2.48984
3.51623;2.48984
3.63407;2.87718
3.58442;2.8859
3.3574;2.77216
3.3574;2.77216
2.68338;2.7389
2.40022;2.64678
2.40482;2.63773
2.47798;2.53557
2.45194;2.59541
2.54281;2.74094
2.4022;2.38667
3.05549;3.14648
3.29492;3.2633
3.21637;2.59316
3.21962;2.60011
3.36289;2.61079
3.36289;2.61079
3.1692;2.57291
3.38487;2.44019
3.38487;2.44019
3.24664;2.79755
3.24664;2.79755
3.07441;2.7364
3.16214;2.6527
3.06345;2.65463
3.06345;2.65463
2.94995;2.83356
3.01478;2.85385
2.9067;2.97526
3.1018;2.75485
3.1018;2.75485
3.20856;2.77462
3.14603;2.78766
3.06425;3.02778
3.03981;2.92792
3.03981;2.92792
2.92396;3.04986
2.9682;3.05162
2.7549;2.8741
3.46925;2.18451
2.84848;2.85374
2.87344;2.92907
3.0116;2.93772
2.64794;3.73819
3.66644;2.30364
3.42255;2.58465
3.28779;2.47837
3.35423;2.89005
3.97801;2.68426
3.6419;2.51753
3.83503;2.74842
3.83503;2.74842
3.64845;2.33662
3.44316;1.98927
3.77625;2.23323
4.06604;2.51861
3.84728;2.41898
2.3572;3.30006
2.46968;3.08658
1.93648;2.96327
2.1114;2.8722
2.94398;2.3825
2.83929;2.31383
2.75183;2.43434
2.84763;2.4708
2.99626;2.51097
2.82353;2.62485
2.82353;2.62485
2.73918;2.26058
2.47836;2.30098
2.66127;2.3358
2.83112;2.41874
2.8081;2.6808
2.53559;2.55688
3.0276;2.77206
3.61702;2.26786
3.69027;2.33056
3.49057;2.16653
2.46962;3.0535
2.88356;3.25259
2.98435;3.03254
2.99313;3.02831
2.73734;2.78928
2.73734;2.78928
2.68979;2.91699
2.38568;2.70981
2.27692;2.66275
2.15866;2.7066
2.12674;2.90125
4.2318;2.23697
3.52519;2.8569
3.76945;2.96842
3.58333;2.34157
2.21306;2.51801
2.26193;2.56367
4.07506;2.07625
3.83667;2.45394
2.83265;3.39162
2.94532;3.29433
2.85734;3.23733
2.8377;3.25629
2.63945;3.35753
3.46179;3.44004
2.87223;3.21577
2.97655;3.23548
2.87304;3.48483
3.50731;3.1501
3.16848;3.15424
3.12547;3.15807
